[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[SYSTEM] There is a very popular Chinese restaurant in the south part of town called The Lucky Star, it is in the cheap price range.  [USER] Can I have the address and phone number please? [END]
[USER] Can I have the address and phone number please?  [SYSTEM] Their number is 01223 244277 and they are located at Cambridge Leisure Park Clifton Way Cherry Hinton. Can I be of any further assistance? [END]
[SYSTEM] Their number is 01223 244277 and they are located at Cambridge Leisure Park Clifton Way Cherry Hinton. Can I be of any further assistance?  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Thank you for using the Cambridge restaurant system. Goodbye. [END]
[USER] I am looking for a French restaurant.  [SYSTEM] There is one in the centre of town and one in the north area of town. Which one would you prefer? [END]
[SYSTEM] There is one in the centre of town and one in the north area of town. Which one would you prefer?  [USER] North Part of Town [END]
[USER] North Part of Town  [SYSTEM] Restaurant Two Two is a French restaurant located in the north part of town, but it is pricey. Would you like more information? [END]
[SYSTEM] Restaurant Two Two is a French restaurant located in the north part of town, but it is pricey. Would you like more information?  [USER] Yes, what is the address of Restaurant Two Two? [END]
[USER] Yes, what is the address of Restaurant Two Two?  [SYSTEM] The address is 22 Chesterton Road. [END]
[SYSTEM] The address is 22 Chesterton Road.  [USER] Thank you, good bye. [END]
[USER] Thank you, good bye.  [SYSTEM] Good bye. [END]
[USER] I'm looking for an expensive restaurant in the center of town.  [SYSTEM] Certainly. Some choices that fit your criteria are Bedouin, Kymmoy, and Fitzbillies Restaurant. [END]
[SYSTEM] Certainly. Some choices that fit your criteria are Bedouin, Kymmoy, and Fitzbillies Restaurant.  [USER] What are the different food types of these restaurants? [END]
[USER] What are the different food types of these restaurants?  [SYSTEM] In the same order: African, Asian Oriental, British. Do any of these fancy you? [END]
[SYSTEM] In the same order: African, Asian Oriental, British. Do any of these fancy you?  [USER] Not actually. I won't be needing anything else at this time. thank you. Good bye. [END]
[USER] Not actually. I won't be needing anything else at this time. thank you. Good bye.  [SYSTEM] You don't need any other information? [END]
[SYSTEM] You don't need any other information?  [USER] That's all I need from you today. Thanks. [END]
[USER] That's all I need from you today. Thanks.  [SYSTEM] Alright. I hope you have a wonderful day! [END]
[SYSTEM] Alright. I hope you have a wonderful day!  [USER] Thank you for your help [END]
[USER] Thank you for your help  [SYSTEM] You're quite welcome! Thanks for contacting the Cambridge TownInfo Centre and have a great day! [END]
[USER] I'm looking for an inexpensive African restaurant.  [SYSTEM] Sorry, no matches matched your search. Do you want a different price range? [END]
[SYSTEM] Sorry, no matches matched your search. Do you want a different price range?  [USER] No thank you. Is there any inexpensive restaurants that serve Asian oriental food? [END]
[USER] No thank you. Is there any inexpensive restaurants that serve Asian oriental food?  [SYSTEM] Yes, Dojo Noodle Bar and J Restaurant in the city centre both have what you're looking for. Would you like to book a table at one of them? [END]
[SYSTEM] Yes, Dojo Noodle Bar and J Restaurant in the city centre both have what you're looking for. Would you like to book a table at one of them?  [USER] That sounds great. Would you book either of those for me for Wednesday at 20:00 for 6 people? [END]
[USER] That sounds great. Would you book either of those for me for Wednesday at 20:00 for 6 people?  [SYSTEM] I was able to book at J restaurant for you. Your reference number is 3KVIT5AR . They will only hold the table for 15 minutes. Is there anything else? [END]
[SYSTEM] I was able to book at J restaurant for you. Your reference number is 3KVIT5AR . They will only hold the table for 15 minutes. Is there anything else?  [USER] Nope that sounds great, thank you [END]
[USER] Nope that sounds great, thank you  [SYSTEM] You're welcome. Enjoy your meal! [END]
[USER] i am looking for a particular restaurant. Its name is called restaurant two two.  [SYSTEM] Restaurant Two Two is an expensive french restaurant on the north side. Would you like to make a reservation? [END]
[SYSTEM] Restaurant Two Two is an expensive french restaurant on the north side. Would you like to make a reservation?  [USER] Can you book a table for 8 people at 11:00 on thursday? [END]
[USER] Can you book a table for 8 people at 11:00 on thursday?  [SYSTEM] Yes, your ref. # is E7D8F4SM . Can I help you with anything more? [END]
[SYSTEM] Yes, your ref. # is E7D8F4SM . Can I help you with anything more?  [USER] No thank you! That is all! [END]
[USER] No thank you! That is all!  [SYSTEM] Have a great day! [END]
[USER] Is there a cheap restaurant serving belgian food?  [SYSTEM] What area are you interested in? [END]
[SYSTEM] What area are you interested in?  [USER] I do not care what area it is in. [END]
[USER] I do not care what area it is in.  [SYSTEM] There are no cheap Belgian restaurants. Would you like to change your query? [END]
[SYSTEM] There are no cheap Belgian restaurants. Would you like to change your query?  [USER] How about a cheap restaurant serving Italian food? [END]
[USER] How about a cheap restaurant serving Italian food?  [SYSTEM] da vinci pizzeria serves italian food in the cheap price range and in the centre of town, is there anything else i can help you with? [END]
[USER] I would like a restaurant in any area that serves scandinavian food  [SYSTEM] There are no restaurants available that serve scandinavian food. Are there any other restaurants you would like to try? [END]
[SYSTEM] There are no restaurants available that serve scandinavian food. Are there any other restaurants you would like to try?  [USER] How about french? [END]
[USER] How about french?  [SYSTEM] Restaurant Two Two serves French food. Would you like the location information? [END]
[SYSTEM] Restaurant Two Two serves French food. Would you like the location information?  [USER] If you could give me the phone number, that would be great. [END]
[USER] If you could give me the phone number, that would be great.  [SYSTEM] The phone number for restaurant two two is 01223 351880. Can I help you with anything else? [END]
[SYSTEM] The phone number for restaurant two two is 01223 351880. Can I help you with anything else?  [USER] No, thank you, that does it. Thank you and goodbye! [END]
[USER] No, thank you, that does it. Thank you and goodbye!  [SYSTEM] Goodbye. [END]
[USER] I need to find a moderately priced restaurant in the east part of town.  [SYSTEM] The Curry Prince is in the moderate price range, and it is on the east part of town. [END]
[SYSTEM] The Curry Prince is in the moderate price range, and it is on the east part of town.  [USER] Can you send me the address and the phone number of this restaurant? [END]
[USER] Can you send me the address and the phone number of this restaurant?  [SYSTEM] Yes, the Curry Prince is located at 451 Newmarket Road Fen Ditton and their phone number is 01223 566388. Can I help you with anything else? [END]
[SYSTEM] Yes, the Curry Prince is located at 451 Newmarket Road Fen Ditton and their phone number is 01223 566388. Can I help you with anything else?  [USER] No, that will do it, thank you very much. [END]
[USER] No, that will do it, thank you very much.  [SYSTEM] Thank you. Good bye [END]
[USER] I am looking for information on The Varsity restaurant.  [SYSTEM] The Varsity is a moderately priced restaurant offering international cuisine. Would you like any other information? [END]
[SYSTEM] The Varsity is a moderately priced restaurant offering international cuisine. Would you like any other information?  [USER] Could you book me a table for 2 at 20:00 on Tuesday evening? [END]
[USER] Could you book me a table for 2 at 20:00 on Tuesday evening?  [SYSTEM] Ok! Your table for 2 at the Varsity Restaurant has been booked for Tuesday at 20:00. You reference number is: 1EB89A0F [END]
[SYSTEM] Ok! Your table for 2 at the Varsity Restaurant has been booked for Tuesday at 20:00. You reference number is: 1EB89A0F  [USER] Thank you so much, that is all. [END]
[USER] Thank you so much, that is all.  [SYSTEM] You're welcome. Goodbye! [END]
[USER] Yes I am looking for information on Michael House cafe.  [SYSTEM] The Michael House cafe is an expensive european restaurant located in the centre. Would you like me to make you a reservation? [END]
[SYSTEM] The Michael House cafe is an expensive european restaurant located in the centre. Would you like me to make you a reservation?  [USER] Yes, please. For a party of 7 on Friday, at 17:15. [END]
[USER] Yes, please. For a party of 7 on Friday, at 17:15.  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : ALCPCA3P . Is there anything else I can help you with? [END]
[SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : ALCPCA3P . Is there anything else I can help you with?  [USER] That will be all. Thank you very much. [END]
[USER] That will be all. Thank you very much.  [SYSTEM] You're welcome. Enjoy your day. [END]
[USER] I want to find a restaurant in the centre part of town and serves british food.  [SYSTEM] There are several British restaurants. Do you have a price range in mind? [END]
[SYSTEM] There are several British restaurants. Do you have a price range in mind?  [USER] I have no preference. can i please have the address and phone number of one of them ? [END]
